liurui@ubuntu:~$ KERAS_BACKEND=theano python DeepRec/v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000001,0.001,0.001,0.001] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000001,0.001,0.001,0.001]', verbose=1) 
Traceback (most recent call last):
  File "DeepRec/v3_random_train/MLP.py", line 136, in <module>
    train = np.loadtxt(path + 'train_pair_all.txt')
  File "/home/liurui/.local/lib/python2.7/site-packages/numpy/lib/npyio.py", line 896, in loadtxt
    fh = iter(open(fname, 'U'))
IOError: [Errno 2] No such file or directory: 'Data/yelp/train_pair_all.txt'
liurui@ubuntu:~$ cd DeepRec
liurui@ubuntu:~/DeepRec$ KERAS_BACKEND=theano python v3_random_train/MLP.py --learner adam --batch_size_random 1280000 --reg_layers [0.000001,0.001,0.001,0.001] --lr 0.00001
Using Theano backend.
MLP arguments: Namespace(batch_size=256, batch_size_random=1280000, epochs=100, layers='[64,32,16,8]', learner='adam', lr=1e-05, path='Data/yelp/', reg_layers='[0.000001,0.001,0.001,0.001]', verbose=1) 
Load data done [192.6 s]. #user=13679, #item=12922, #train=15651858, #test=316795
Init: NDCG = 0.689855 [68.7]
Iteration 0 [95.4 s]: NDCG = 0.745680, loss = 0.810463 [66.09 s]
Iteration 1 [88.3 s]: NDCG = 0.777062, loss = 0.760155 [67.81 s]
Iteration 2 [104.1 s]: NDCG = 0.787577, loss = 0.727629 [78.77 s]
Iteration 3 [121.8 s]: NDCG = 0.793671, loss = 0.705997 [166.73 s]
Iteration 4 [162.8 s]: NDCG = 0.796198, loss = 0.688934 [263.07 s]
Iteration 5 [143.2 s]: NDCG = 0.798181, loss = 0.678312 [336.18 s]
Iteration 6 [280.7 s]: NDCG = 0.799533, loss = 0.673433 [406.77 s]
Iteration 7 [422.6 s]: NDCG = 0.800459, loss = 0.670534 [431.04 s]
Iteration 8 [418.4 s]: NDCG = 0.801285, loss = 0.669308 [394.18 s]
Iteration 9 [427.2 s]: NDCG = 0.802017, loss = 0.667970 [361.02 s]
Iteration 10 [474.5 s]: NDCG = 0.802260, loss = 0.667375 [345.59 s]
Iteration 11 [509.3 s]: NDCG = 0.802596, loss = 0.666398 [343.77 s]
Iteration 12 [522.3 s]: NDCG = 0.802943, loss = 0.666003 [354.99 s]
Iteration 13 [533.0 s]: NDCG = 0.802967, loss = 0.665137 [359.23 s]
Iteration 14 [547.8 s]: NDCG = 0.803152, loss = 0.665175 [364.00 s]
Iteration 15 [544.7 s]: NDCG = 0.803342, loss = 0.664655 [352.80 s]
Iteration 16 [544.2 s]: NDCG = 0.803336, loss = 0.664147 [363.73 s]
Iteration 17 [556.7 s]: NDCG = 0.803424, loss = 0.663929 [368.25 s]
Iteration 18 [556.6 s]: NDCG = 0.803731, loss = 0.663782 [357.67 s]
Iteration 19 [552.6 s]: NDCG = 0.803810, loss = 0.663239 [363.23 s]
Iteration 20 [556.1 s]: NDCG = 0.803953, loss = 0.663094 [364.51 s]
Iteration 21 [552.4 s]: NDCG = 0.804094, loss = 0.662989 [367.47 s]
Iteration 22 [557.6 s]: NDCG = 0.803983, loss = 0.662817 [363.67 s]
Iteration 23 [551.3 s]: NDCG = 0.804018, loss = 0.662416 [361.31 s]
Iteration 24 [552.2 s]: NDCG = 0.804009, loss = 0.662317 [365.01 s]
Iteration 25 [552.0 s]: NDCG = 0.803906, loss = 0.662143 [344.21 s]
Iteration 26 [549.6 s]: NDCG = 0.803940, loss = 0.662426 [340.24 s]
Iteration 27 [545.5 s]: NDCG = 0.803940, loss = 0.662021 [343.94 s]
Iteration 28 [530.6 s]: NDCG = 0.803979, loss = 0.661723 [329.58 s]
Iteration 29 [526.1 s]: NDCG = 0.803996, loss = 0.661861 [328.99 s]
Iteration 30 [514.4 s]: NDCG = 0.803986, loss = 0.661910 [329.70 s]
Iteration 31 [514.5 s]: NDCG = 0.804006, loss = 0.661510 [325.75 s]
Iteration 32 [522.4 s]: NDCG = 0.803971, loss = 0.661447 [325.41 s]
Iteration 33 [515.0 s]: NDCG = 0.803909, loss = 0.661007 [328.71 s]
Iteration 34 [514.3 s]: NDCG = 0.803892, loss = 0.661002 [326.54 s]
Iteration 35 [517.2 s]: NDCG = 0.803865, loss = 0.660619 [325.76 s]
Iteration 36 [513.1 s]: NDCG = 0.804020, loss = 0.660547 [325.96 s]
Iteration 37 [517.7 s]: NDCG = 0.803973, loss = 0.660519 [325.75 s]
Iteration 38 [514.2 s]: NDCG = 0.804137, loss = 0.660675 [328.74 s]
Iteration 39 [513.1 s]: NDCG = 0.804103, loss = 0.660886 [324.98 s]
Iteration 40 [529.4 s]: NDCG = 0.804272, loss = 0.660487 [325.16 s]
Iteration 41 [513.5 s]: NDCG = 0.804295, loss = 0.660065 [332.62 s]
Iteration 42 [514.5 s]: NDCG = 0.804203, loss = 0.659971 [324.76 s]
Iteration 43 [520.7 s]: NDCG = 0.804213, loss = 0.660386 [324.78 s]
Iteration 44 [518.6 s]: NDCG = 0.804268, loss = 0.659600 [335.24 s]
Iteration 45 [520.2 s]: NDCG = 0.804258, loss = 0.660119 [332.78 s]
Iteration 46 [523.2 s]: NDCG = 0.804180, loss = 0.660233 [332.64 s]
Iteration 47 [525.1 s]: NDCG = 0.804261, loss = 0.659965 [334.84 s]
Iteration 48 [535.8 s]: NDCG = 0.804388, loss = 0.659830 [358.49 s]
Iteration 49 [531.8 s]: NDCG = 0.804342, loss = 0.659915 [356.54 s]
Iteration 50 [525.7 s]: NDCG = 0.804322, loss = 0.659727 [359.46 s]
Iteration 51 [526.0 s]: NDCG = 0.804353, loss = 0.659868 [355.46 s]
Iteration 52 [531.0 s]: NDCG = 0.804164, loss = 0.659597 [356.30 s]
Iteration 53 [535.6 s]: NDCG = 0.804327, loss = 0.659537 [357.95 s]
Iteration 54 [526.1 s]: NDCG = 0.804380, loss = 0.659649 [355.83 s]
Iteration 55 [525.6 s]: NDCG = 0.804176, loss = 0.659703 [328.15 s]
Iteration 56 [518.4 s]: NDCG = 0.804207, loss = 0.659121 [338.52 s]
Iteration 57 [530.3 s]: NDCG = 0.804040, loss = 0.659247 [328.68 s]
Iteration 58 [517.7 s]: NDCG = 0.804397, loss = 0.659291 [331.92 s]
Iteration 59 [518.5 s]: NDCG = 0.804278, loss = 0.659183 [328.40 s]
Iteration 60 [525.5 s]: NDCG = 0.804425, loss = 0.658908 [324.03 s]
Iteration 61 [514.2 s]: NDCG = 0.804560, loss = 0.659225 [328.30 s]
Iteration 62 [516.5 s]: NDCG = 0.804634, loss = 0.658979 [327.94 s]
Iteration 63 [528.1 s]: NDCG = 0.804396, loss = 0.659100 [325.01 s]
Iteration 64 [514.5 s]: NDCG = 0.804498, loss = 0.659254 [328.31 s]
Iteration 65 [513.9 s]: NDCG = 0.804476, loss = 0.659060 [324.62 s]
Iteration 66 [520.9 s]: NDCG = 0.804430, loss = 0.658944 [324.83 s]
Iteration 67 [517.9 s]: NDCG = 0.804276, loss = 0.659117 [328.01 s]
Iteration 68 [516.4 s]: NDCG = 0.804228, loss = 0.659096 [325.00 s]
Iteration 69 [520.0 s]: NDCG = 0.804126, loss = 0.658976 [324.65 s]
Iteration 70 [513.8 s]: NDCG = 0.804302, loss = 0.658710 [328.30 s]
Iteration 71 [516.0 s]: NDCG = 0.804298, loss = 0.658632 [324.96 s]
Iteration 72 [517.6 s]: NDCG = 0.804144, loss = 0.658720 [325.31 s]
Iteration 73 [514.1 s]: NDCG = 0.804255, loss = 0.658629 [326.07 s]
Iteration 74 [520.5 s]: NDCG = 0.804424, loss = 0.658540 [325.28 s]
Iteration 75 [518.4 s]: NDCG = 0.804054, loss = 0.658611 [326.94 s]
Iteration 76 [513.0 s]: NDCG = 0.804138, loss = 0.658784 [325.56 s]
Iteration 77 [521.4 s]: NDCG = 0.804146, loss = 0.658981 [325.42 s]
Iteration 78 [515.0 s]: NDCG = 0.804313, loss = 0.658518 [328.18 s]
Iteration 79 [515.5 s]: NDCG = 0.804105, loss = 0.658377 [325.90 s]
Iteration 80 [519.8 s]: NDCG = 0.804105, loss = 0.658630 [325.46 s]
Iteration 81 [514.6 s]: NDCG = 0.804266, loss = 0.658552 [328.45 s]
Iteration 82 [514.8 s]: NDCG = 0.804230, loss = 0.658718 [325.61 s]
Iteration 83 [516.1 s]: NDCG = 0.804401, loss = 0.658605 [325.47 s]
Iteration 84 [515.9 s]: NDCG = 0.804610, loss = 0.658634 [329.02 s]
